Vivado Simulator 2020.2
Time resolution is 1 ps
WARNING: Too many words specified in data file mini_conv0_kernel.txt
WARNING: Too many words specified in data file mini_conv0_bias.txt
WARNING: Too many words specified in data file mini_conv1_kernel.txt
WARNING: Too many words specified in data file mini_conv1_bias.txt
WARNING: Too many words specified in data file mini_conv2_kernel.txt
WARNING: Too many words specified in data file mini_conv2_bias.txt
At time                    0, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = xxxxxxxxxxxxxx, dense_valid = x
At time                 5000, clk = 1, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                10000, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                15000, clk = 1, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                20000, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                25000, clk = 1, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                30000, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                35000, clk = 1, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                40000, clk = 0, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                45000, clk = 1, resetn = 0, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                50000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                55000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                60000, clk = 0, resetn = 1, buffer_1_valid_i = 1, dense_out = aa8dae100f3299, dense_valid = 0
At time                65000, clk = 1, resetn = 1, buffer_1_valid_i = 1, dense_out = aa8dae100f3299, dense_valid = 0
At time                70000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                75000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                80000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                85000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                90000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time                95000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               100000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               105000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               110000, clk = 0, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
At time               115000, clk = 1, resetn = 1, buffer_1_valid_i = 0, dense_out = aa8dae100f3299, dense_valid = 0
